Price,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA,AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA,AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA,AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA,AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-27,156.01971435546875,98.04000091552734,101.6201171875,201.26060485839844,269.9861755371094,26.507532119750977,191.80999755859375,158.47416184588545,99.33999633789062,103.90126672624382,204.2570941974041,274.94864070171997,26.976117128214934,197.38999938964844,155.61556566491817,97.08000183105469,101.0944628976051,199.79213295596273,269.14605544409125,26.34167858929791,189.94000244140625,157.6560126824132,99.06999969482422,103.7624149352095,203.2152668797388,274.0108578776161,26.81326120327941,194.4199981689453,52390300,46721300,31120900,18527200,26840200,361026000,120851600
2023-03-28,155.39871215820312,97.23999786376953,100.20183563232422,199.117431640625,268.86285400390625,26.386640548706055,189.19000244140625,156.22672817707905,98.44000244140625,101.61019379170308,199.4647124804403,269.75180568788846,26.489550086858387,192.35000610351562,153.7525619849842,96.29000091552734,98.92240911282488,196.35907885459528,265.7563973042853,25.827136394951317,185.42999267578125,155.714149696992,98.11000061035156,101.60028121184264,198.59155960774748,269.40989660765126,26.42360847823861,192.0,45992200,38720100,32057900,19127300,21878600,356104000,98654600
2023-03-29,158.47418212890625,100.25,100.55888366699219,203.75106811523438,274.02069091796875,26.960132598876953,193.8800048828125,158.75018247951246,100.41999816894531,101.64986521604924,204.1181823011788,274.63612126718954,27.054049321086534,195.2899932861328,157.07446176772007,98.55999755859375,99.82495172553267,200.962935191242,271.96926635776106,26.57347575940691,189.44000244140625,157.09416533498404,98.69000244140625,101.44158753942646,201.9749972989551,272.5065307325749,26.801274739572264,193.1300048828125,51305700,49783300,28779600,18851100,25087000,393694000,123660000
2023-03-30,160.0414581298828,102.0,100.0629653930664,206.22169494628906,277.478759765625,27.35877799987793,195.27999877929688,160.1498879032855,103.04000091552734,100.33075633701215,206.46974837510436,277.8792783804837,27.474676521126977,197.3300018310547,158.96702721945866,101.01000213623047,98.96206388318606,201.24079299646337,274.9682369436602,27.078026419046342,194.4199981689453,159.22330893800608,101.55000305175781,100.08280568283826,201.7964302546129,277.65461829253616,27.204914890179356,195.5800018310547,49501700,53633400,33086200,22608300,25053400,364516000,110252200
2023-03-31,162.54519653320312,103.29000091552734,102.87969970703125,210.28976440429688,281.6304626464844,27.752429962158203,207.4600067138672,162.64377453412575,103.48999786376953,103.0383842078249,210.51796930568898,282.57802388172956,27.809378749397688,207.7899932861328,159.597903820846,101.94999694824219,100.2117479628211,205.1600216261787,276.4530846466407,27.081023503257455,197.1999969482422,160.12033413577524,102.16000366210938,100.46961878932184,205.62636325509658,277.16620757595643,27.115992391152133,197.52999877929688,68749800,56750300,36863400,25440300,32766000,433933000,170222100
2023-04-03,163.79705810546875,102.41000366210938,103.50455474853516,211.41098022460938,280.5851745605469,27.940265655517578,194.77000427246094,163.91533966892132,103.29000091552734,103.67315943118984,211.82770816161158,281.60109352855216,27.97523454624746,202.69000244140625,161.87490749491164,101.43000030517578,101.09447331738312,206.57888921274505,277.38105592793227,27.311822283407086,192.1999969482422,161.92419649331373,102.30000305175781,101.5507017587842,207.21390537484075,279.89157837797717,27.48466960367856,199.91000366210938,56976200,41135700,25035400,17924600,24883300,398716000,169545900
2023-04-04,163.2647705078125,103.94999694824219,103.86158752441406,213.048095703125,280.53631591796875,27.428714752197266,192.5800018310547,164.45748300799937,104.19999694824219,104.71453851392779,214.55626454565197,283.73068619331156,27.975231771386614,198.74000549316406,162.75219201536794,102.11000061035156,103.18716133658586,210.88506228081928,279.0612688180202,27.28284399228964,190.32000732421875,164.22091988909426,102.75,103.47478504857116,211.7284498584111,280.58517709537364,27.94126145071521,197.32000732421875,46278300,48662500,24420100,21026400,25824300,368592000,126463800
2023-04-05,161.4214630126953,101.0999984741211,103.61363983154297,209.83334350585938,277.7620849609375,26.857223510742188,185.52000427246094,162.69304993016723,103.91000366210938,105.2302756731111,213.51446289742063,280.5070761358077,26.97411869458037,190.67999267578125,159.48946069965245,100.75,102.8102819841236,208.3053411097266,276.3749518849941,26.371653330557585,183.75999450683594,162.38747921010668,103.91000366210938,104.91289907946413,212.48255219823199,279.2371622142725,26.80526946048249,190.52000427246094,51511700,45175400,28290500,19396600,22064800,515015000,133882500
